TITCK_ID,TITCK_Ilac_Adi,ATC_Barkod,ATC_Kodu,ATC_Durumu,Match Score
4349,ELUCEF PLUS 300/125 MG EFERVESAN TABLET,8680881020285,J01DD15,Pasif,75.08
4350,ELUXAT 84 MG SERT KAPSÜL,8681198055045,A16AX10,Pasif,78.58
4351,ELYNZA 15 MG FİLM TABLET,8699569090878,N05AH03,Pasif,85.57
4352,ELYNZA 20 MG FİLM TABLET,8699569090885,N05AH03,Pasif,85.35
4365,EMEDUR 200 MG FILM KAPLI TABLET,8681801091378,R06AA10,Aktif,73.65
4367,"EMEKSAT %0,05 GÖZ DAMLASI, ÇÖZELTİ",8680199619522,S01GX06,Aktif,82.74
4368,EMEND 125 MG+80 MG+ 80 MG SERT KAPSüL,8699636150306,A04AD12,Aktif,86.1
4369,EMESET 4MG/2ML IM/IV ENJEKSIYONLUK ÇÖZELTI IÇERENAMPUL,8699828750604,A04AA01,Pasif,71.63
4370,EMESET 8MG/4ML IM/IV ENJEKSIYONLUK ÇÖZELTI IÇEREN AMPUL,8699828750611,A04AA01,Pasif,74.13
4372,EMETOL 200 MG KAPLı TABLET,8699825120011,R06AA10,Pasif,78.42
4377,EMGALITY 100 MG/ML ENJEKSIYONLUK ÇöZELTI  İçEREN KULLANıMA HAZıR ENJEKTöR,8699673954714,N02CD02,Aktif,87.67
4378,EMGALITY 120 MG/ML ENJEKSIYONLUK ÇöZELTI İçEREN KULLANıMA HAZıR KALEM,8699673954714,N02CD02,Aktif,88.26
4383,EMOCLOT 1000 IU/10 ML IV İNFÜZYONLUK ÇÖZELTİ HAZIRLAMAK İÇİN TOZ VE ÇÖZÜCÜ,8680972009038,B02BD02,Aktif,87.49
4384,EMOCLOT 500 IU/10 ML IV İNFÜZYONLUK ÇÖZELTİ HAZIRLAMAK İÇİN TOZ VE ÇÖZÜCÜ,8680972009021,B02BD02,Aktif,87.36
4386,EMPACROS 10 MG FILM KAPLı TABLET,8699514097846,A10BK03,Aktif,94.35
4387,EMPAFEL 10 MG FILM KAPLI TABLET,8699540030763,A10BK03,Aktif,96.46
4388,EMPAFEL 25 MG FILM KAPLI TABLET,8699540030756,A10BK03,Aktif,96.49
4390,"EMPAFEL MET 12,5 MG/500 MG FILM KAPLı  TABLET",8699540030763,A10BK03,Aktif,71.2
4391,"EMPAFEL MET 12,5MG/850 MG FILM KAPLı TABLET",8699540030763,A10BK03,Aktif,75.48
4392,EMPAFEL MET 5 MG/1000 MG FILM KAPLı TABLET,8699540030763,A10BK03,Aktif,71.85
4393,EMPAFEL MET 5 MG/500 MG FILM KAPLı TABLET,8699540030763,A10BK03,Aktif,71.73
4397,EMPANCE  10  MG  FILM  KAPLı  TABLET,8699540030763,A10BK03,Aktif,77.23
4398,EMPANCE  25  MG  FILM  KAPLı  TABLET,8699540030756,A10BK03,Aktif,75.11
4407,EMSELEX 15 MG UZATILMIŞ SALIMLI TABLET,8699874080137,G04BD10,Aktif,84.87
4408,"EMSELEX 7,5 MG UZATILMIŞ SALIMLI TABLET",8699874080120,G04BD10,Aktif,84.88
4410,EMTRON 250UG/5ML IV ENJEKSİYONLUK ÇÖZELTİ İÇEREN FLAKON,8680643000272,A04AA05,Pasif,76.34
4422,ENBREL 25 MG ENJEKSIYONLUK SOLÜSYON IÇIN TOZ,8681308277435,L04AB01,Aktif,83.96
4424,ENBREL 25 MG SC ENJEKSİYONLUK ÇÖZELTİ İÇEREN KULLANIMA HAZIR ENJEKTÖR,8681308955555,L04AB01,Aktif,81.22
4425,"ENBREL 25 MG/0,5 ML SC ENJEKSIYONLUK  ÇÖZELTİ İÇİN  KULLANIMA HAZIR ENJEKTöR",8681308955555,L04AB01,Aktif,80.84
4426,ENBREL MYCLIC 50 MG/ML SC ENJEKSIYONLUK ÇÖZELTI IÇIN KULLANIMA HAZIR KALEM,8681308955555,L04AB01,Aktif,79.16
4427,ENCEF 125MG/5ML ORAL SÜSPANSIYON HAZIRLAMAK İÇIN KURU TOZ,8699525287465,J01DD15,Aktif,71.36
4428,ENCEF 250MG/5ML ORAL SÜSPANSIYON HAZIRLAMAK İÇIN KURU TOZ,8699525287489,J01DD15,Aktif,71.65
4430,ENCEF 600 MG FİLM KAPLI TABLET,8699525090690,J01DD15,Aktif,74.48
4435,ENDOL 100 MG SUPOZITUAR,8699525890597,M01AB01,Aktif,81.74
4436,ENDOL® 25 MG KAPSÜL,8699525150585,M01AB01,Aktif,76.87
4437,ENDOXAN 1 G IV İNFÜZYONLUK ÇÖZELTİ HAZIRLAMAK İÇİN TOZ,8681413881084,L01AA06,Aktif,75.58
4439,ENDOXAN 500 MG IV İNFüZYONLUK ÇöZELTİ HAZIRLAMAK İÇİN TOZ,8681413881077,L01AA06,Aktif,75.74
4445,ENFEROX 125 MG SUDA DAĞILABİLEN TABLET,8699680070063,V03AC03,Aktif,81.92
4446,ENFEROX 250 MG SUDA DAĞILABİLEN TABLET,8699680070070,V03AC03,Aktif,81.56
4447,ENFEROX 500 MG SUDA DAĞILABİLEN TABLET,8699680070087,V03AC03,Aktif,81.37
4448,ENFEROX EASY 180 MG FİLM KAPLI TABLET,8699680091433,V03AC03,Aktif,75.28
4449,ENFEROX EASY 360 MG FİLM KAPLI TABLET,8699680091426,V03AC03,Aktif,81.77
4450,ENFEROX EASY 90 MG FİLM KAPLI TABLET,8699680091426,V03AC03,Aktif,74.42
4457,ENFEXOL 500MG FİLM KAPLI TABLET,8680760091320,P01AB03,Pasif,78.28
4458,ENFLANIS 200 MG I.M./I.V. ENJEKSIYONLUK ÇöZELTI  HAZıRLAMAK  IçIN  TOZ  VE  ÇöZüCü,8699606795292,J01XA02,Aktif,70.11
4459,ENFLANIS 400 MG I.M./I.V. ENJEKSIYONLUK ÇöZELTI  HAZıRLAMAK  IçIN  TOZ  VE  ÇöZüCü,8699606795308,J01XA02,Aktif,70.38
4462,ENFLUAT % 0.4STERİL GÖZ DAMLASI,8699702611533,S01BC05,Aktif,82.37
4463,"ENFLUAT %0,4 STERİL GÖZ DAMLASI, ÇÖZELTİ",8699702611533,S01BC05,Aktif,82.51
4466,ENFLUVIR 12MG/ML ORAL SÜSPANSIYON İÇIN TOZ,8699717280175,J05AH02,Aktif,85.51
4468,ENFLUVİR 45 MG SERT KAPSüL,8699717150027,J05AH02,Aktif,70.29
4469,ENFLUVIR 75 MG SERT KAPSÜL,8699717150027,J05AH02,Aktif,80.06
4473,ENHERTU 100 MG IV INFüZYONLUK çöZELTI HAZıRLAMADA KULLANıLACAK  KONSANTRE IçIN TOZ,8699228790026,L01FD04,Aktif,81.63
4474,ENHOŞ MEYVE TUZU,8699535250138,A06AD21,Pasif,72.85
4475,ENİT 10 MG/20 MG TABLET,8699587012869,C09BB06,Aktif,79.26
4481,ENORNO 365 MG EFERVESAN TABLET,8699527020015,A12CC10,Pasif,72.58
4482,"ENOX 10000 ANTI-XA IU/1,0 ML KULLANIMA HAZIR ENJEKTÖR",8699717950030,B01AB05,Aktif,77.04
4483,"ENOX 2000 ANTI-XA IU/0,2 ML KULLANIMA HAZIR ENJEKTöR",8699717950047,B01AB05,Aktif,78.72
4484,"ENOX 4000 ANTI-XA IU/0,4 ML KULLANIMA HAZIR ENJEKTöR",8699717950030,B01AB05,Aktif,82.58
4485,"ENOX 6000 ANTI-XA IU/0,6 ML KULLANIMA HAZIR ENJEKTÖR",8699717950047,B01AB05,Aktif,81.23
4486,"ENOX 8000 ANTI-XA IU/0,8 ML KULLANIMA HAZIR ENJEKTÖR",8699717950054,B01AB05,Aktif,82.35
4490,ENTAMEZOL 500 MG FİLM KAPLI TABLET,8680131757275,P01AB03,Aktif,80.9
4494,ENTOCORT 0.02MG/ML ENEMA HAZIRLAMAK IÇIN DISPERSIBL TABLET,8699786910010,A07EA06,Pasif,80.5
4495,ENTYVIO 300 MG INFüZYONLUK çöZELTI KONSANTRESI IçIN TOZ,8699456790096,L04AG05,Aktif,96.0
4496,ENZADRE 40 MG YUMUşAK KAPSüL,8699511190700,L02BB04,Aktif,93.84
4497,ENZAFLU 75 MG SERT KAPSüL,8699514150824,J05AH02,Aktif,83.33
4501,ENZOFEN %2 VAJİNAL KREM,8680199367447,G01AF12,Aktif,72.73
